Epoch time,Latitude,Longitude,Radiation (cps)
1682546854.3973148,37.875416,-122.258913,38.2
1682546859.8571677,37.875411,-122.258909,37.6
1682546865.2041042,37.875411,-122.258906,39.0
1682546870.5148866,37.875398,-122.258901,35.8
1682546875.835844,37.875394,-122.258903,39.4
1682546881.365716,37.875379,-122.258913,34.6
1682546886.8068333,37.875379,-122.258925,40.4
1682546892.1677232,37.875355,-122.258908,28.2
1682546897.55355,37.875336,-122.258898,34.6
1682546902.953906,37.875321,-122.258884,35.0
1682546908.3200698,37.87533,-122.258866,35.4
1682546913.645854,37.875358,-122.258871,32.8
1682546919.003237,37.875376,-122.258859,36.2
1682546924.402893,37.875401,-122.258838,33.0
1682546929.7349467,37.875413,-122.258833,32.2
1682546935.1185446,37.875426,-122.258821,34.6
1682546940.4737709,37.875446,-122.258806,31.0
1682546945.8266406,37.875453,-122.25882,37.8
1682546951.2120295,37.875456,-122.258846,37.2
1682546956.5786047,37.875435,-122.258865,42.4
1682546961.994989,37.875429,-122.258866,31.8
1682546967.4119785,37.875428,-122.258863,31.8
1682546972.882401,37.875426,-122.258863,40.6
1682546978.3437896,37.875421,-122.258865,33.6
1682546983.8172915,37.87542,-122.258871,36.2
1682546989.26085,37.875418,-122.258871,37.8
1682546994.7847214,37.875403,-122.258871,34.2
1682547000.22852,37.875405,-122.258868,36.6
1682547005.6215088,37.875408,-122.258861,39.0
1682547011.077496,37.875401,-122.258859,33.8
1682547016.4949849,37.8754,-122.258859,32.8
1682547021.903653,37.875403,-122.258859,33.4
1682547027.3488503,37.875408,-122.258863,35.6
1682547032.7598379,37.875413,-122.258865,34.6
1682547038.2226872,37.875421,-122.258871,34.8
1682547043.66545,37.875426,-122.258881,37.8
1682547049.124318,37.875431,-122.25889,33.4
1682547054.557658,37.875436,-122.2589,40.6
1682547060.0248213,37.875444,-122.258916,31.2
1682547065.491813,37.87545,-122.258918,33.8
1682547070.9331279,37.87545,-122.258916,33.8
1682547076.3953555,37.875446,-122.258915,36.2
1682547081.8229198,37.875443,-122.258908,32.2
1682547087.310876,37.87544,-122.258901,32.4
1682547092.7501192,37.875433,-122.258891,32.6
1682547098.2408144,37.875426,-122.258883,40.8
1682547103.7021852,37.87542,-122.258886,32.6
1682547109.206953,37.87542,-122.258884,33.4
1682547114.663873,37.875418,-122.258878,34.8
1682547120.1929271,37.875415,-122.258868,35.2
1682547125.6631951,37.875415,-122.258866,31.6
1682547131.2283552,37.87542,-122.258866,36.4
1682547136.697738,37.875423,-122.25887,29.0
1682547142.2369406,37.875428,-122.258868,33.0
1682547147.704042,37.875425,-122.258863,31.2
1682547153.2317126,37.875418,-122.258858,34.0
1682547158.7079115,37.875415,-122.258855,37.2
1682547164.2302945,37.875416,-122.25885,33.2
1682547169.734918,37.87542,-122.258845,36.0
1682547175.3335419,37.875426,-122.258838,33.8
1682547180.859786,37.875428,-122.25884,34.8
1682547186.3881438,37.875426,-122.258843,33.0
1682547191.9208646,37.875423,-122.258846,32.0
1682547197.4597213,37.875425,-122.258848,34.2
